Location,Location Name,Location - RegionId,Indicator,Indicator Name,Indicator - Reference Name,Measure,Measure Name,Measure - Units,Scale,Units,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0500000US53025,Grant County,US_WA025,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,61,59,54,50,28,0,5
0500000US53025,Grant County,US_WA025,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,33576,34592,35637,36371,37057,37929,39015,39457,40302,41325
0500000US53023,Garfield County,US_WA023,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,2143,2107,2073,2017,2013,2009,2094
0500000US53023,Garfield County,US_WA023,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,0,0,0,0,0,0,0
0500000US53023,Garfield County,US_WA023,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,3,7,5,9,0,0,0
0500000US53023,Garfield County,US_WA023,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,27,19,40,71,71,91,58
0500000US53023,Garfield County,US_WA023,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,0,0,0,0,0,0,0
0500000US53023,Garfield County,US_WA023,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,55,69,116,75,74,53,47,42,31,42
0500000US53021,Franklin County,US_WA021,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,58891,60232,62427,62553,63444,58571,57630
0500000US53021,Franklin County,US_WA021,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,1461,1752,1814,1800,1699,1869,2029
