Location,County,Location - RegionId,Indicator,Indicator Name,Indicator - Reference Name,Measure,Measure Name,Measure - Units,Scale,Units,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0500000US53033,King County,US_WA033,S1701_C01_004,5 to 17 years,AGE!!Under 18 years!!5 to 17 years,KN.M2,"Total, Estimate",Number,units,Number,,,,299000,303311,308178,312806,316142,317898,323645
0500000US53033,King County,US_WA033,S1701_C01_005,Related children of householder under 18 years,AGE!!Under 18 years!!Related children of householder under 18 years,KN.M2,"Total, Estimate",Number,units,Number,404923,411130,416172,421445,426766,431863,438205,441186,442586,445453
0500000US53033,King County,US_WA033,S1701_C01_006,18 to 64 years,AGE!!18 to 64 years,KN.M2,"Total, Estimate",Number,units,Number,1296678,1314457,1334103,1356094,1374292,1397553,1424767,1444004,1462926,1474375
0500000US53033,King County,US_WA033,S1701_C01_007,18 to 34 years,AGE!!18 to 64 years!!18 to 34 years,KN.M2,"Total, Estimate",Number,units,Number,,,,510013,518875,530818,548403,559649,570896,569339
0500000US53033,King County,US_WA033,S1701_C01_008,35 to 64 years,AGE!!18 to 64 years!!35 to 64 years,KN.M2,"Total, Estimate",Number,units,Number,,,,846081,855417,866735,876364,884355,892030,905036
0500000US53033,King County,US_WA033,S1701_C01_009,60 years and over,AGE!!60 years and over,KN.M2,"Total, Estimate",Number,units,Number,,,,351851,365854,380591,393338,404692,412541,415821
0500000US53033,King County,US_WA033,S1701_C01_010,65 years and over,AGE!!65 years and over,KN.M2,"Total, Estimate",Number,units,Number,208065,217532,227224,236873,247423,258196,269033,278678,287620,289195
0500000US53031,Jefferson County,US_WA031,S1701_C01_002,Under 18 years,AGE!!Under 18 years,KN.M2,"Total, Estimate",Number,units,Number,4347,4131,4060,4041,3975,3853,3796,3770,3703,3814
0500000US53031,Jefferson County,US_WA031,S1701_C01_003,Under 5 years,AGE!!Under 18 years!!Under 5 years,KN.M2,"Total, Estimate",Number,units,Number,,,,1080,1031,1035,922,856,853,840
0500000US53031,Jefferson County,US_WA031,S1701_C01_004,5 to 17 years,AGE!!Under 18 years!!5 to 17 years,KN.M2,"Total, Estimate",Number,units,Number,,,,2961,2944,2818,2874,2914,2850,2974
0500000US53031,Jefferson County,US_WA031,S1701_C01_005,Related children of householder under 18 years,AGE!!Under 18 years!!Related children of householder under 18 years,KN.M2,"Total, Estimate",Number,units,Number,4280,4096,3987,4008,3898,3773,3699,3705,3652,3767
0500000US53031,Jefferson County,US_WA031,S1701_C01_006,18 to 64 years,AGE!!18 to 64 years,KN.M2,"Total, Estimate",Number,units,Number,16846,16620,16368,16223,15974,15840,15740,15704,15796,16116
0500000US53031,Jefferson County,US_WA031,S1701_C01_007,18 to 34 years,AGE!!18 to 64 years!!18 to 34 years,KN.M2,"Total, Estimate",Number,units,Number,,,,3870,3765,3711,3708,3785,3863,3805
